Database Report 1 (R4)	Total Searches, Result Clicks and Record Views by Month and Database
BADISCHE LANDESBIBLIOTHEK
BADISCHE LANDESBIBLIOTHEK
Period covered by Report:
2019-01-01 to 2019-04-30
Date run:
2019-09-17
Database	Publisher	Platform	User Activity	Reporting Period Total	Jan-2019	Feb-2019	Mar-2019	Apr-2019
Making of Modern Law	EBSCO	EBSCOhost	Regular Searches	0	0	0	0	0
Making of Modern Law	EBSCO	EBSCOhost	Searches-federated and automated	283855	76166	70853	70971	65865
Making of Modern Law	EBSCO	EBSCOhost	Result Clicks	0	0	0	0	0
Making of Modern Law	EBSCO	EBSCOhost	Record Views	0	0	0	0	0
Making of the Modern World	EBSCO	EBSCOhost	Regular Searches	0	0	0	0	0
Making of the Modern World	EBSCO	EBSCOhost	Searches-federated and automated	282889	75924	70637	70701	65627
Making of the Modern World	EBSCO	EBSCOhost	Result Clicks	0	0	0	0	0
Making of the Modern World	EBSCO	EBSCOhost	Record Views	0	0	0	0	0
Manuscriptorium Digital Library	EBSCO	EBSCOhost	Regular Searches	0	0	0	0	0
Manuscriptorium Digital Library	EBSCO	EBSCOhost	Searches-federated and automated	288938	76233	72203	72907	67595
Manuscriptorium Digital Library	EBSCO	EBSCOhost	Result Clicks	0	0	0	0	0
Manuscriptorium Digital Library	EBSCO	EBSCOhost	Record Views	2	0	1	0	1
Naxos Music Library	EBSCO	EBSCOhost	Regular Searches	0	0	0	0	0
Naxos Music Library	EBSCO	EBSCOhost	Searches-federated and automated	5058	65	1344	1923	1726
Naxos Music Library	EBSCO	EBSCOhost	Result Clicks	0	0	0	0	0
Naxos Music Library	EBSCO	EBSCOhost	Record Views	0	0	0	0	0
Newswires	EBSCO	EBSCOhost	Regular Searches	2994	581	626	798	989
Newswires	EBSCO	EBSCOhost	Searches-federated and automated	0	0	0	0	0
Newswires	EBSCO	EBSCOhost	Result Clicks	0	0	0	0	0
Newswires	EBSCO	EBSCOhost	Record Views	0	0	0	0	0
OAIster	EBSCO	EBSCOhost	Regular Searches	0	0	0	0	0
OAIster	EBSCO	EBSCOhost	Searches-federated and automated	289077	76287	72228	72917	67645
OAIster	EBSCO	EBSCOhost	Result Clicks	0	0	0	0	0
OAIster	EBSCO	EBSCOhost	Record Views	757	172	187	201	197
OAPEN Library	EBSCO	EBSCOhost	Regular Searches	0	0	0	0	0
OAPEN Library	EBSCO	EBSCOhost	Searches-federated and automated	287707	75913	71912	72584	67298
OAPEN Library	EBSCO	EBSCOhost	Result Clicks	0	0	0	0	0
OAPEN Library	EBSCO	EBSCOhost	Record Views	4	0	0	3	1
OECD iLibrary	EBSCO	EBSCOhost	Regular Searches	0	0	0	0	0
OECD iLibrary	EBSCO	EBSCOhost	Searches-federated and automated	284143	76240	70918	71026	65959
OECD iLibrary	EBSCO	EBSCOhost	Result Clicks	0	0	0	0	0
OECD iLibrary	EBSCO	EBSCOhost	Record Views	4	2	2	0	0
OpenDissertations	EBSCO	EBSCOhost	Regular Searches	190	14	144	17	15
OpenDissertations	EBSCO	EBSCOhost	Searches-federated and automated	0	0	0	0	0
OpenDissertations	EBSCO	EBSCOhost	Result Clicks	0	0	0	0	0
OpenDissertations	EBSCO	EBSCOhost	Record Views	0	0	0	0	0
Oxford Consolidated db	EBSCO	EBSCOhost	Regular Searches	0	0	0	0	0
Oxford Consolidated db	EBSCO	EBSCOhost	Searches-federated and automated	154	126	7	14	7
Oxford Consolidated db	EBSCO	EBSCOhost	Result Clicks	0	0	0	0	0
Oxford Consolidated db	EBSCO	EBSCOhost	Record Views	0	0	0	0	0
Oxford Handbooks Online	EBSCO	EBSCOhost	Regular Searches	0	0	0	0	0
Oxford Handbooks Online	EBSCO	EBSCOhost	Searches-federated and automated	31524	26560	1337	1909	1718
Oxford Handbooks Online	EBSCO	EBSCOhost	Result Clicks	0	0	0	0	0
Oxford Handbooks Online	EBSCO	EBSCOhost	Record Views	9	8	0	1	0
PSYNDEX: Literature and Audiovisual Media with PSYNDEX Tests	EBSCO	EBSCOhost	Regular Searches	498	104	214	103	77
